precision,recall,f1,support,dp_violation,eopp_violation
0.5522388059701493,0.14122137404580154,0.22492401215805477,,0.24670931538323598,0.5745750951923447
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.6153846153846154,0.03940886699507389,0.07407407407407408,,0.06627278822606943,0.12824316356678742
0.8666666666666667,0.06467661691542288,0.12037037037037035,,0.18914726161786938,0.36656151473072235
0.5333333333333333,0.0784313725490196,0.13675213675213674,,1.0534448049920564,
0.5303030303030303,0.19021739130434784,0.27999999999999997,,0.22237390018222386,0.47653264337551937
0.5714285714285714,0.18090452261306533,0.2748091603053435,,0.21477561627099162,0.5473772418967875
0.6666666666666666,0.08583690987124463,0.15209125475285173,,0.0986728578476217,0.24384549274255157
0.42105263157894735,0.09815950920245399,0.15920398009950248,,0.0529721081657718,0.04284576337697854
0.41025641025641024,0.11428571428571428,0.17877094972067037,,0.3401651136434847,
0.5789473684210527,0.2037037037037037,0.3013698630136986,,0.297933782981884,
0.7142857142857143,0.20270270270270271,0.31578947368421056,,0.33567975040685494,
0.5555555555555556,0.10948905109489052,0.1829268292682927,,0.18535864474909075,
0.45,0.0625,0.10975609756097562,,0.1571934331557292,0.20164139125468677
0.5111111111111111,0.17037037037037037,0.25555555555555554,,0.21307146025290463,
0.4,0.07017543859649122,0.11940298507462686,,0.35087880318813036,0.3319987995556277
0.4166666666666667,0.10101010101010101,0.16260162601626016,,0.16864521892952425,0.41478120585396266
0.4375,0.07368421052631578,0.12612612612612611,,0.16861328613047996,
