precision,recall,f1,support,dp_violation,eopp_violation
0.4444444444444444,0.045627376425855515,0.08275862068965517,,0.12614646656202996,0.17045454545454547
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.3333333333333333,0.014778325123152709,0.028301886792452827,,0.0432182156585042,0.0776363088522798
0.6666666666666666,0.009950248756218905,0.0196078431372549,,0.04404388714733543,0.08146766169154226
1.0,0.00980392156862745,0.01941747572815534,,0.017155969986158665,0.09184726522187822
0.23076923076923078,0.016304347826086956,0.030456852791878174,,0.06371166718786805,
0.42857142857142855,0.014778325123152709,0.02857142857142857,,0.05268331347494419,0.08059024197757156
0.6,0.03862660944206009,0.07258064516129033,,0.047907872540120744,0.40536004089195576
0.0,0.0,0.0,,0.04991505704281035,0.0
0.8,0.02857142857142857,0.05517241379310345,,0.0657432164785106,0.15920117618230828
0.6666666666666666,0.018518518518518517,0.036036036036036036,,0.056346733916827374,0.13051529790660227
0.0,0.0,0.0,,0.0,0.0
1.0,0.014598540145985401,0.028776978417266185,,0.04397133755963903,0.09991668326963829
0.5,0.006944444444444444,0.0136986301369863,,0.03334283271587347,0.054093567251461985
0.0,0.0,0.0,,0.014861707330326577,0.0
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
