precision,recall,f1,support,dp_violation,eopp_violation
0.45454545454545453,0.25,0.3225806451612903,,0.4701388888888889,0.4357142857142857
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
1.0,0.05714285714285714,0.1081081081081081,,0.06644570707070707,0.16428571428571428
1.0,0.041666666666666664,0.07999999999999999,,0.0971227518708364,
0.5294117647058824,0.24324324324324326,0.33333333333333337,,0.1248917748917749,0.28364728364728364
0.46153846153846156,0.16901408450704225,0.24742268041237112,,0.06604245680573113,
0.4146341463414634,0.19101123595505617,0.2615384615384615,,0.13784606405370645,0.18600840336134453
0.6533333333333333,0.3951612903225806,0.492462311557789,,0.27090000359569955,0.5037879293840023
0.5833333333333334,0.2413793103448276,0.34146341463414637,,0.1842682474784213,
0.5102040816326531,0.44642857142857145,0.4761904761904762,,0.18764289561475342,
0.44,0.22448979591836735,0.2972972972972973,,0.3223267173598896,0.5124716553287982
0.7058823529411765,0.1643835616438356,0.26666666666666666,,0.11047886195151273,0.2582070707070707
0.5882352941176471,0.26548672566371684,0.36585365853658536,,0.2924032680422984,0.5276434479974303
0.6666666666666666,0.072992700729927,0.13157894736842105,,0.054214326363435456,0.11025641025641027
0.23076923076923078,0.022222222222222223,0.04054054054054055,,0.05418732952226597,0.16825396825396824
0.5714285714285714,0.14035087719298245,0.22535211267605634,,0.45863291637939524,0.46596596596596596
0.6428571428571429,0.09,0.15789473684210525,,0.1311301419997072,0.25769230769230766
0.4074074074074074,0.23157894736842105,0.2953020134228188,,0.3434220425499495,0.8035383964906717
