precision,recall,f1,support,dp_violation,eopp_violation
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,,0.0,
