precision,recall,f1,support,dp_violation,eopp_violation
0.8333333333333334,0.019083969465648856,0.03731343283582089,,0.03742842040714381,0.11953440727436014
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
0.6065573770491803,0.18226600985221675,0.28030303030303033,,0.22146913135889273,
0.6382978723404256,0.14925373134328357,0.24193548387096772,,0.09072229387565817,0.21232902543484278
0.47368421052631576,0.08823529411764706,0.14876033057851243,,0.10470541052340009,0.6249591503267973
0.631578947368421,0.13043478260869565,0.21621621621621623,,0.15835042150831624,
0.6621621621621622,0.24623115577889448,0.358974358974359,,0.08399707150949046,0.1861021543455452
0.6617647058823529,0.19313304721030042,0.2990033222591362,,0.3228825698756784,0.5264393105977265
1.0,0.006134969325153374,0.012195121951219513,,0.013051314673452077,
0.47619047619047616,0.07142857142857142,0.12422360248447205,,0.18691247090323138,0.2670970138435892
1.0,0.009259259259259259,0.018348623853211007,,0.015955897649261492,0.07539682539682539
0.8,0.02702702702702703,0.05228758169934641,,0.03635315256137546,
0.47368421052631576,0.06569343065693431,0.11538461538461539,,0.6194632132132133,0.7604191193783847
0.5,0.08333333333333333,0.14285714285714285,,0.09183622828784119,0.18972431077694235
0.5,0.1037037037037037,0.17177914110429446,,0.26140307579145006,0.5762925598991173
0.4074074074074074,0.09649122807017543,0.15602836879432624,,0.30756822729890826,0.512808164201353
0.0,0.0,0.0,,0.0,0.0
0.0,0.0,0.0,,0.0,0.0
