"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","28.6","25","White",15.7511516001595,28.7097221801181
"purple","28.6","25","Black",1.99595535295585,29.2148076519637
"purple","28.6","25","Asian",4.24983133718339,30.0513853657506
"purple","28.6","25","Hispanic",2.14137270438128,27.1880032269778
"purple","28.6","25","American_Indian",0.0766073871409029,24.5
"purple","28.6","25","Others",0.785081618179119,21.2302940268447
"purple","28.6","25","NorthSide",3,34.3333333333333
"purple","28.6","25","FarNorthSide",7,28.2857142857143
"purple","28.6","25","FarSoutheastSide",0,NA
"purple","28.6","25","SouthSide",0,NA
"purple","28.6","25","CentralChicago",15,27.6
"purple","28.6","25","FarSouthwestSide",0,NA
"purple","28.6","25","SouthwestSide",0,NA
"purple","28.6","25","WestSide",0,NA
"purple","28.6","25","NorthwestSide",0,NA
"blue","23.0754716981132","53","White",29.0240044868323,19.8704151895163
"blue","23.0754716981132","53","Black",8.28215690073679,26.8435670267028
"blue","23.0754716981132","53","Asian",4.51005104291918,28.4445758324568
"blue","23.0754716981132","53","Hispanic",8.99628108500502,27.1797531899017
"blue","23.0754716981132","53","American_Indian",0.0006265664160401,54
"blue","23.0754716981132","53","Others",2.18687991809069,23.3763742893777
"blue","23.0754716981132","53","NorthSide",11,16.7272727272727
"blue","23.0754716981132","53","FarNorthSide",32,25.75
"blue","23.0754716981132","53","FarSoutheastSide",3,37
"blue","23.0754716981132","53","SouthSide",4,4.5
"blue","23.0754716981132","53","CentralChicago",0,NA
"blue","23.0754716981132","53","FarSouthwestSide",3,28.6666666666667
"blue","23.0754716981132","53","SouthwestSide",0,NA
"blue","23.0754716981132","53","WestSide",0,NA
"blue","23.0754716981132","53","NorthwestSide",0,NA
"orange","27.95","20","White",5.31781188621447,28.7333679749096
"orange","27.95","20","Black",5.33343707020975,23.0736583026297
"orange","27.95","20","Asian",0.986498890039828,32.4884030899719
"orange","27.95","20","Hispanic",7.97182867304845,30.518806062252
"orange","27.95","20","American_Indian",0,NA
"orange","27.95","20","Others",0.390423480487497,19.9757014717097
"orange","27.95","20","NorthSide",4,36.25
"orange","27.95","20","FarNorthSide",4,32
"orange","27.95","20","FarSoutheastSide",5,15
"orange","27.95","20","SouthSide",1,46
"orange","27.95","20","CentralChicago",0,NA
"orange","27.95","20","FarSouthwestSide",0,NA
"orange","27.95","20","SouthwestSide",5,25.8
"orange","27.95","20","WestSide",1,36
"orange","27.95","20","NorthwestSide",0,NA
"green","32.4090909090909","22","White",9.9883639618949,37.7677189684347
"green","32.4090909090909","22","Black",1.07986983552781,18.7354332491715
"green","32.4090909090909","22","Asian",2.02103095516431,31.3875133062432
"green","32.4090909090909","22","Hispanic",8.35880047081607,28.1611855740473
"green","32.4090909090909","22","American_Indian",0,NA
"green","32.4090909090909","22","Others",0.55193477659692,30.2600618531972
"green","32.4090909090909","22","NorthSide",2,37
"green","32.4090909090909","22","FarNorthSide",3,18.6666666666667
"green","32.4090909090909","22","FarSoutheastSide",0,NA
"green","32.4090909090909","22","SouthSide",0,NA
"green","32.4090909090909","22","CentralChicago",5,38.2
"green","32.4090909090909","22","FarSouthwestSide",1,56
"green","32.4090909090909","22","SouthwestSide",5,27.6
"green","32.4090909090909","22","WestSide",3,37.6666666666667
"green","32.4090909090909","22","NorthwestSide",3,28.3333333333333
"yellow","29.4705882352941","17","White",8.7183803683829,26.8389692571625
"yellow","29.4705882352941","17","Black",1.39993940009583,30.7798300954035
"yellow","29.4705882352941","17","Asian",2.7445166999739,23.1394267579865
"yellow","29.4705882352941","17","Hispanic",3.55218163189526,39.9222998049767
"yellow","29.4705882352941","17","American_Indian",0.0550123192576915,26.1232001839752
"yellow","29.4705882352941","17","Others",0.529969580394427,32.3846122738111
"yellow","29.4705882352941","17","NorthSide",1,3
"yellow","29.4705882352941","17","FarNorthSide",0,NA
"yellow","29.4705882352941","17","FarSoutheastSide",0,NA
"yellow","29.4705882352941","17","SouthSide",0,NA
"yellow","29.4705882352941","17","CentralChicago",8,23.375
"yellow","29.4705882352941","17","FarSouthwestSide",0,NA
"yellow","29.4705882352941","17","SouthwestSide",0,NA
"yellow","29.4705882352941","17","WestSide",7,36.2857142857143
"yellow","29.4705882352941","17","NorthwestSide",1,57
"brown","41.6666666666667","3","White",0.948443205191305,23.7470807483606
"brown","41.6666666666667","3","Black",1.29273084479371,57.5471124620061
"brown","41.6666666666667","3","Asian",0.00540275049115914,56
"brown","41.6666666666667","3","Hispanic",0.741635380270385,36.5700506319626
"brown","41.6666666666667","3","American_Indian",0,NA
"brown","41.6666666666667","3","Others",0.0117878192534381,56
"brown","41.6666666666667","3","NorthSide",0,NA
"brown","41.6666666666667","3","FarNorthSide",0,NA
"brown","41.6666666666667","3","FarSoutheastSide",0,NA
"brown","41.6666666666667","3","SouthSide",0,NA
"brown","41.6666666666667","3","CentralChicago",0,NA
"brown","41.6666666666667","3","FarSouthwestSide",0,NA
"brown","41.6666666666667","3","SouthwestSide",0,NA
"brown","41.6666666666667","3","WestSide",2,57
"brown","41.6666666666667","3","NorthwestSide",1,11
"all","27.7357142857143","140","White",69.7481555086753,26.3255107780923
"all","27.7357142857143","140","Black",19.3840894043197,28.1204218090958
"all","27.7357142857143","140","Asian",14.5173316757718,28.7464210566425
"all","27.7357142857143","140","Hispanic",31.7620999454165,30.4236947474904
"all","27.7357142857143","140","American_Indian",0.132246272814634,23.9424096346659
"all","27.7357142857143","140","Others",4.45607719300209,25.7956378009878
"all color","27.7357142857143","140","purple",25,24.44
"all color","27.7357142857143","140","blue",53,25.3018867924528
"all color","27.7357142857143","140","orange",20,23.9
"all color","27.7357142857143","140","green",22,36.1363636363636
"all color","27.7357142857143","140","yellow",17,31.5882352941176
"all color","27.7357142857143","140","brown",3,40.3333333333333
"all location","27.7357142857143","140","NorthSide",21,24.3333333333333
"all location","27.7357142857143","140","FarNorthSide",46,26.7826086956522
"all location","27.7357142857143","140","FarSoutheastSide",8,22.625
"all location","27.7357142857143","140","SouthSide",5,11.2
"all location","27.7357142857143","140","CentralChicago",28,27.9642857142857
"all location","27.7357142857143","140","FarSouthwestSide",4,38.25
"all location","27.7357142857143","140","SouthwestSide",10,27.3
"all location","27.7357142857143","140","WestSide",13,40.7692307692308
"all location","27.7357142857143","140","NorthwestSide",5,32.8
"default","32.45","140","White",69.7481555086753,30.9622189337611
"default","32.45","140","Black",19.3840894043197,32.6086082890031
"default","32.45","140","Asian",14.5173316757718,31.0440411903172
"default","32.45","140","Hispanic",31.7620999454165,36.4185032036557
"default","32.45","140","American_Indian",0.132246272814634,29.7584810969219
"default","32.45","140","Others",4.45607719300209,31.4208944510552
"default color","32.45","140","purple",25,27.56
"default color","32.45","140","blue",53,30.1509433962264
"default color","32.45","140","orange",20,38
"default color","32.45","140","green",22,36.3181818181818
"default color","32.45","140","yellow",17,36.3529411764706
"default color","32.45","140","brown",3,26.3333333333333
"default location","32.45","140","NorthSide",21,27.952380952381
"default location","32.45","140","FarNorthSide",46,32.0217391304348
"default location","32.45","140","FarSoutheastSide",8,36.25
"default location","32.45","140","SouthSide",5,21
"default location","32.45","140","CentralChicago",28,29.6071428571429
"default location","32.45","140","FarSouthwestSide",4,35.25
"default location","32.45","140","SouthwestSide",10,41.1
"default location","32.45","140","WestSide",13,37.3846153846154
"default location","32.45","140","NorthwestSide",5,44.2
