"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","28.6578947368421","38","White",17.643916885037,28.7001446277335
"blue","28.6578947368421","38","Black",6.53110732328304,28.7709861421497
"blue","28.6578947368421","38","Asian",2.83105960018279,23.5901490414081
"blue","28.6578947368421","38","Hispanic",9.63114492045475,30.666357640928
"blue","28.6578947368421","38","American_Indian",0.0909383702869555,17.4903213800187
"blue","28.6578947368421","38","Others",1.2718329007555,24.360779967611
"orange","33.5625","32","White",7.89691558813801,29.5443198929717
"orange","33.5625","32","Black",15.1750416987442,38.4888539977511
"orange","33.5625","32","Asian",1.79397776919146,29.9923642881394
"orange","33.5625","32","Hispanic",6.63375678389004,28.1978837606087
"orange","33.5625","32","American_Indian",0,NA
"orange","33.5625","32","Others",0.500308160036268,31.4955843927643
"brown","24.25","4","White",2.6453475357273,25.0995309609372
"brown","24.25","4","Black",0.0728860275233174,15.4171539239126
"brown","24.25","4","Asian",0.138940319192987,22.1628969155959
"brown","24.25","4","Hispanic",1.06458264680058,23.4025460179032
"brown","24.25","4","American_Indian",0,NA
"brown","24.25","4","Others",0.078243470755817,18.9927434415066
"yellow","35.6666666666667","6","White",3.28373559548387,34.2777898091832
"yellow","35.6666666666667","6","Black",1.75766070507108,39.4608176003194
"yellow","35.6666666666667","6","Asian",0.582853888541306,28.9950371845358
"yellow","35.6666666666667","6","Hispanic",0.328212541867489,40.2951061979754
"yellow","35.6666666666667","6","American_Indian",0,NA
"yellow","35.6666666666667","6","Others",0.0475372690362599,41.1644089199893
"green","27.4193548387097","31","White",14.8576741259111,22.8449117019039
"green","27.4193548387097","31","Black",3.37994061816116,31.0922129119643
"green","27.4193548387097","31","Asian",4.94165637283506,26.6301506911321
"green","27.4193548387097","31","Hispanic",7.00469433421698,35.9715120018549
"green","27.4193548387097","31","American_Indian",0.0273032801028662,27.2017599968
"green","27.4193548387097","31","Others",0.788731268772811,26.8516243101421
"purple","26.8076923076923","26","White",17.9558787978071,26.2218473368621
"purple","26.8076923076923","26","Black",1.68642367686473,30.4265857126131
"purple","26.8076923076923","26","Asian",2.60303739805952,27.1552381254767
"purple","26.8076923076923","26","Hispanic",2.8920920935983,28.1250116211129
"purple","26.8076923076923","26","American_Indian",0.101635741548766,25.6783170780539
"purple","26.8076923076923","26","Others",0.76093229212159,26.566770905297
"all","31.2262773722628","137","White",64.2834685281044,29.5139800243143
"all","31.2262773722628","137","Black",28.6030600496475,35.8365095343804
"all","31.2262773722628","137","Asian",12.8915253480031,27.8220674361528
"all","31.2262773722628","137","Hispanic",27.5544833208281,32.2701265798791
"all","31.2262773722628","137","American_Indian",0.219877391938587,32.0875149937446
"all","31.2262773722628","137","Others",3.44758536147824,29.2361980673641
"all color","31.2262773722628","137","blue",38,36.0526315789474
"all color","31.2262773722628","137","orange",32,30.59375
"all color","31.2262773722628","137","brown",4,32.75
"all color","31.2262773722628","137","yellow",6,36.6666666666667
"all color","31.2262773722628","137","green",31,24
"all color","31.2262773722628","137","purple",26,32.0769230769231
"default","29.6277372262774","137","White",64.2834685281044,27.9577892735169
"default","29.6277372262774","137","Black",28.6030600496475,33.3500280593522
"default","29.6277372262774","137","Asian",12.8915253480031,29.1706534427524
"default","29.6277372262774","137","Hispanic",27.5544833208281,29.6533041557071
"default","29.6277372262774","137","American_Indian",0.219877391938587,33.0955451629208
"default","29.6277372262774","137","Others",3.44758536147824,31.1669796159041
"default color","29.6277372262774","137","blue",38,32.1842105263158
"default color","29.6277372262774","137","orange",32,33.25
"default color","29.6277372262774","137","brown",4,33.75
"default color","29.6277372262774","137","yellow",6,31.8333333333333
"default color","29.6277372262774","137","green",31,26
"default color","29.6277372262774","137","purple",26,24.6153846153846
