"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","20.6410256410256","39","White",23.2428449290783,21.9103739843618
"purple","20.6410256410256","39","Black",5.88473731523059,14.8294701111633
"purple","20.6410256410256","39","Asian",6.24713337621849,20.2206165615097
"purple","20.6410256410256","39","Hispanic",2.58087844302438,23.1334366082212
"purple","20.6410256410256","39","American_Indian",0.00642523364485981,37
"purple","20.6410256410256","39","Others",1.03798070280343,21.3971501068486
"purple","20.6410256410256","39","NorthSide",5,40
"purple","20.6410256410256","39","FarNorthSide",3,44.3333333333333
"purple","20.6410256410256","39","FarSoutheastSide",0,NA
"purple","20.6410256410256","39","SouthSide",5,17
"purple","20.6410256410256","39","CentralChicago",23,16.304347826087
"purple","20.6410256410256","39","FarSouthwestSide",1,0
"purple","20.6410256410256","39","SouthwestSide",0,NA
"purple","20.6410256410256","39","WestSide",2,6
"purple","20.6410256410256","39","NorthwestSide",0,NA
"blue","26","119","White",38.8787469806163,27.8408931796194
"blue","26","119","Black",33.7345002860474,24.4236855682933
"blue","26","119","Asian",13.9601836946649,27.2478969039041
"blue","26","119","Hispanic",28.3021584502947,24.7515974067818
"blue","26","119","American_Indian",0.344230646851732,29.6273744774461
"blue","26","119","Others",3.78017994152496,25.5416948403292
"blue","26","119","NorthSide",12,32.1666666666667
"blue","26","119","FarNorthSide",66,27.6212121212121
"blue","26","119","FarSoutheastSide",2,26.5
"blue","26","119","SouthSide",0,NA
"blue","26","119","CentralChicago",1,0
"blue","26","119","FarSouthwestSide",14,30.4285714285714
"blue","26","119","SouthwestSide",1,37
"blue","26","119","WestSide",23,16.0434782608696
"blue","26","119","NorthwestSide",0,NA
"orange","24.6","220","White",52.4686997565038,24.3191345559049
"orange","24.6","220","Black",44.9081598565912,25.1035067922976
"orange","24.6","220","Asian",5.91988861095523,26.5455536774998
"orange","24.6","220","Hispanic",94.472233712018,26.4446926473059
"orange","24.6","220","American_Indian",0.151554931154827,25.8216278683725
"orange","24.6","220","Others",3.07946313277696,25.4281448235684
"orange","24.6","220","NorthSide",12,27.5833333333333
"orange","24.6","220","FarNorthSide",13,26.8461538461538
"orange","24.6","220","FarSoutheastSide",0,NA
"orange","24.6","220","SouthSide",0,NA
"orange","24.6","220","CentralChicago",5,26.2
