Test,pastSerious,pastCritical,timeSinceLast,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,temperatureMax,heat_burglary,heat_sanitation,heat_garbage,Inspector_blue,Inspector_brown,Inspector_green,Inspector_orange,Inspector_purple,Inspector_yellow
False,0,0,0.8663768646639067,1,0,1,-0.16977459284690885,0.4027588935855329,0.9253533425287724,-0.12816248503495867,0,0,1,0,0,0
False,0,0,0.8663768646639067,1,0,0,0.12292956603748671,-0.4346162747603719,-0.34962195632464144,-0.11798844020119882,1,0,0,0,0,0
False,0,0,0.8663768646639067,1,0,0,0.12292956603748671,-0.5224542026653182,-0.7544318955130564,-0.510100530253122,1,0,0,0,0,0
False,0,0,0.8663768646639067,1,0,0,-0.029663352828375678,0.9762432080431305,0.9503448847922173,0.9516763813211478,1,0,0,0,0,0
False,0,0,0.8663768646639067,1,0,0,-0.21020820038049087,-0.720635788678764,-1.1079611567678573,-0.8790758116828278,1,0,0,0,0,0
False,0,0,0.8663768646639067,1,0,0,1.1866850407578944,0.9251359715210915,-0.5243726175488614,1.4311378713079375,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,0,0,1.1866850407578944,-0.8784244214297224,-0.3951245285297801,1.6338737532179466,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,1.1866850407578944,-0.5244865591164862,-0.5723787822484804,0.059570751878258485,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.8850151688986613,-0.5273020548305953,-0.09126765721138137,1.8918425596720763,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,0,0,0.8850151688986613,-0.4570749309372025,0.19938754722312485,2.139834092422164,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,0,0,0.8850151688986613,-0.7683902646380647,-0.2171258096132999,2.856524029092626,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.7044703213465409,-1.0985381299382888,-0.28156575343668755,0.8274906887426681,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.621669325049514,-0.9179471249938526,-0.4543842695753587,1.1152540533791804,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.2698969395073662,-0.8206085522113661,-0.29025996520147906,1.5048263020972672,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,1,0.2698969395073662,-0.08786147808675411,-0.7262940107909982,1.0051265855970444,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.2698969395073662,0.058971669836098466,-0.4878202284976046,1.2860553192453108,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.2698969395073662,-0.1321657097428136,-0.44340188667480745,1.4577158888501192,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.25688786577917444,-0.8940594601197722,-0.030145229372403864,1.2687031464141318,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.25688786577917444,-1.1364511744354273,-1.0008413680361954,-0.8609056962966919,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.21100451114324192,-0.9629789817303913,-0.7995455672454764,2.0839550895212615,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,1,0.009539666649837998,-1.1308020508792278,-0.9092774039765429,-0.30211449880317554,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.1661759462690551,-1.146614294146649,-0.7042110132620545,-0.053678623848453524,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.1661759462690551,-0.19197057040106422,-1.2210513485016088,0.3694849599518506,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,1,0,0.6571805803616185,-1.219595479711399,-1.1594069866783934,-1.0854463908555676,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,1,0,0.6571805803616185,-1.219595479711399,-1.1594069866783934,-1.0854463908555676,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.6571805803616185,-1.219595479711399,-1.1594069866783934,-1.0854463908555676,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.6571805803616185,-1.219595479711399,-1.1594069866783934,-1.0854463908555676,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,1,0,0.8676111378298594,-0.5243695199263047,-1.1360211557218824,-0.7223811198740856,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,1,0.8676111378298594,-1.2334147716221233,-0.6283583339796204,-0.34522897871968855,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,0,0,0.8676111378298594,-1.2494239444999449,-0.8120163303533028,-0.7217114492132541,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,0,0,0.6831987278180073,0.791599527566853,0.033368022796798645,2.6201804792698873,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,1,0.6831987278180073,-0.5505745473997409,-0.9123250588782428,-0.4386113008394984,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,1,0.17144989507778302,-1.038635531579995,-0.6652999933891642,-0.5080213450884127,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,1,0.17144989507778302,-0.8874361547342225,-0.8818966499061706,-0.5936581091076931,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,0.17144989507778302,-0.9601179873760819,-0.8336660296071216,-0.7794919276623402,0,0,0,1,0,0
False,0,0,0.8663768646639067,1,0,0,-0.21020820038049087,-0.6901588655132413,-0.6579110913811654,0.3126708094700809,0,0,0,1,0,0
False,0,0,0.8663768646639067,0,0,0,-0.21020820038049087,-0.06440732821227257,-0.15135575969510628,1.8389310759128,0,0,0,1,0,0
