"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","29.5357142857143","28","White",17.5590463875845,28.8618866678858
"blue","29.5357142857143","28","Black",1.90493493589672,19.3413076430974
"blue","29.5357142857143","28","Asian",1.76627113863566,33.072215875116
"blue","29.5357142857143","28","Hispanic",5.95355545863681,34.6018631515218
"blue","29.5357142857143","28","American_Indian",0.00216763005780347,28
"blue","29.5357142857143","28","Others",0.814024449188477,23.2051448474851
"orange","17.6206896551724","29","White",10.7583165349721,16.0065436843044
"orange","17.6206896551724","29","Black",9.05371387816549,12.1797393430106
"orange","17.6206896551724","29","Asian",1.72837988324597,12.0983242720038
"orange","17.6206896551724","29","Hispanic",7.0404826315874,28.8035032525558
"orange","17.6206896551724","29","American_Indian",0.0186563275814509,24.4874322326269
"orange","17.6206896551724","29","Others",0.400450744447549,10.9045896982841
"brown","30.6666666666667","3","White",0.274089862867646,17.1647129954048
"brown","30.6666666666667","3","Black",0.988243722425337,35.0063636090347
"brown","30.6666666666667","3","Asian",0.0884,16
"brown","30.6666666666667","3","Hispanic",1.60249709543568,31.2527124420445
"brown","30.6666666666667","3","American_Indian",0.0239693192713327,35
"brown","30.6666666666667","3","Others",0.0228,16
"yellow","19","5","White",2.73455149328185,12.958701293596
"yellow","19","5","Black",0.465375810927861,1.1433986882176
"yellow","19","5","Asian",0.300477970974854,7.87358746087072
"yellow","19","5","Hispanic",1.41435079390964,38.3349159655734
"yellow","19","5","American_Indian",0.00216763005780347,0
"yellow","19","5","Others",0.0830763008479993,29.4523888880641
"green","16.35","20","White",8.7261900800823,13.5540628738569
"green","16.35","20","Black",1.8666933169992,11.5278083307715
"green","16.35","20","Asian",4.52287097369921,21.9719332593124
"green","16.35","20","Hispanic",4.36217426173597,17.6261694352968
"green","16.35","20","American_Indian",0.00726392251815981,14
"green","16.35","20","Others",0.514807444965164,21.055351097088
"purple","26.2173913043478","23","White",17.262801778784,25.5822361172244
"purple","26.2173913043478","23","Black",1.43613323431609,30.2820944557439
"purple","26.2173913043478","23","Asian",1.97541390224575,28.6820891260555
"purple","26.2173913043478","23","Hispanic",1.67155569772499,27.5478817960723
"purple","26.2173913043478","23","American_Indian",0.0024621878297573,45
"purple","26.2173913043478","23","Others",0.651633199099395,23.1298708915757
"all","20.2314814814815","108","White",57.3149961375725,18.113285940572
"all","20.2314814814815","108","Black",15.7150948987307,17.0778556084503
"all","20.2314814814815","108","Asian",10.3818138688014,20.3162042147988
"all","20.2314814814815","108","Hispanic",22.0446159390305,28.2564555591715
"all","20.2314814814815","108","American_Indian",0.0566870173163077,32.5914822444437
"all","20.2314814814815","108","Others",2.48679213854858,17.2059774772931
"all color","20.2314814814815","108","blue",28,24.2857142857143
"all color","20.2314814814815","108","orange",29,21.7931034482759
"all color","20.2314814814815","108","brown",3,43
"all color","20.2314814814815","108","yellow",5,18
"all color","20.2314814814815","108","green",20,15.2
"all color","20.2314814814815","108","purple",23,15.2173913043478
"default","25.8148148148148","108","White",57.3149961375725,25.5765197853704
"default","25.8148148148148","108","Black",15.7150948987307,29.0219673914864
"default","25.8148148148148","108","Asian",10.3818138688014,29.585050087904
"default","25.8148148148148","108","Hispanic",22.0446159390305,22.7832213996278
"default","25.8148148148148","108","American_Indian",0.0566870173163077,31.9374381941939
"default","25.8148148148148","108","Others",2.48679213854858,22.0342535678996
"default color","25.8148148148148","108","blue",28,23.6071428571429
"default color","25.8148148148148","108","orange",29,27.7931034482759
"default color","25.8148148148148","108","brown",3,34.6666666666667
"default color","25.8148148148148","108","yellow",5,28.4
"default color","25.8148148148148","108","green",20,23.1
"default color","25.8148148148148","108","purple",23,26.6521739130435
